PaisAccidente,Fecha,OperadorAerolinea,TipoAeronave,PasajerosABordo,TripulacionABordo,CantidadFallecidos,MuertesPasajeros,MuertesTripulacion
 Vietnam,1970-09-30,Air Vietnam (South Vietnam),Douglas DC-3-DST,34,4,4,1,3
 near Silver Plume,1970-10-02,Charter. Golden Eagle Aviation Inc.,Martin 404,37,3,32,30,2
 Taiwan,1970-10-02,Military - U.S. Air Force,Lockheed C-130E,37,6,43,37,6
 South Africa,1970-10-06,National Airways,Douglas DC-3,9,2,3,2,1
 New Jersey,1970-10-10,Saturn Airways,Lockheed L-100-20 Hercules,0,3,3,0,3
 Guadeloupe,1970-10-28,Aerocosta Colombia,Curtiss C-46D,1,3,2,0,2
 West Virginia,1970-11-14,Southern Airways,McDonnell Douglas DC-9-31,71,4,75,71,4
 South Vietnam,1970-11-27,Military - U.S. Air Force,Fairchild C-123K,73,6,79,73,6
 Alaska,1970-11-27,Capitol Airlines,McDonnell Douglas DC-8-63CF,219,10,47,46,1
 Bangladesh,1970-12-02,Cargolux,Canadair CL-44J,4,4,8,4,4
 India,1970-12-05,Jamair,Douglas DC-3,12,4,5,2,3
 Romania,1970-12-07,Tarom,BAC One-Eleven  424EU,20,7,19,16,3
 Virgin Islands,1970-12-28,Trans Caribbean Airways,Boeing B-727-2A7,48,7,2,2,0
  Pakistan,1970-12-31,Pakistan International Airlines,Fokker F-27 Friendship 200,31,4,7,7,0
 Algeria,1970-12-31,Rousseau Aviation,Nord 262E,28,3,31,28,3
 USSR,1970-12-31,Aeroflot,Ilyushin IL-18B,90,3,93,90,3
 Libya,1971-01-02,United Arab Airlines,de Havilland Comet 4C,8,8,16,8,8
 New Jersey,1971-01-09,American Airlines / Private,Boeing B-707-323 / Cessna 150,14,7,2,0,2
 Switzerland,1971-01-18,Balkan Bulgarian Airlines,Ilyushin IL-18,39,8,45,38,7
 France,1971-01-21,L'Armée de L'Air,Nord 262A-34,17,4,21,17,4
 USSR,1971-01-22,Aeroflot,Antonov AN-12B,12,2,14,12,2
 South Korea,1971-01-23,Korean Airlines,Fokker F-27 Friendship 500,55,5,2,1,1
 Venezuela,1971-01-25,Linea Aeropostal Venezolana,Vickers Viscount 749,43,4,13,12,1
 Russia,1971-01-31,Aeroflot,Antonov AN-10,6,1,7,6,1
 Ecuador,1971-02-17,TAM (Transportes Aereos Militares),Curtiss C-46,8,4,12,8,4
 India,1971-03-26,Jamair,Douglas DC-3,11,4,15,11,4
 California,1971-03-31,Western Airlines,Boeing B-720-047B,0,5,5,0,5
 Ukraine,1971-03-31,Aeroflot,Antonov An-10,57,8,65,57,8
 Philippines,1971-04-15,Military - Philippine Air Force,Douglas C-47A,36,4,39,35,4
 Guatemala,1971-05-11,Aviateca,Curtiss C-46A-55-CK,32,3,5,2,3
 Yugoslavia,1971-05-23,Aviogenex (Yugoslavia),Tupolev TU-134A,76,7,78,75,3
 Chile,1971-05-25,Aerolineas Flecha Austral - ALFA,Curtiss C-46,2,2,4,2,2
 Virginia,1971-05-28,Private,Aero Commander 680E,5,1,6,5,1
 California,1971-06-06,Hughes Airwest  / Military - US Marine Air Corps,McDonnell Douglas DC-9-31 / F4-B,44,7,50,44,6
 Connecticut,1971-06-07,Allegheny Airlines,Convair CV-580,28,3,28,26,2
 Chile,1971-06-17,SAVCO,Douglas DC-6,4,2,6,4,2
 California,1971-06-28,Shelter Cove Sea Park,Douglas DC-3,21,3,17,15,2
 Japan,1971-07-03,Toa Domestic Airline (Japan),NAMC YS-11A-227,64,4,68,64,4
 Mali,1971-07-24,Air Ivoire,Douglas DC-3,4,2,6,4,2
 Russia,1971-07-25,Aeroflot,Tupolev TU-104B,118,8,97,93,4
 Japan,1971-07-30,All Nippon Airways /  Japanese Air Force,Boeing B-727-281 / Air Force F86F,155,9,163,155,8
 California,1971-07-30,Pan American World Airways,Boeing B-747-121,197,21,0,0,0
 Maine,1971-08-19,Downeast Airlines,Piper PA-31,7,1,3,2,1
 Denmark,1971-08-28,Malev Hungarian Airlines,Ilyushin IL-18D,25,9,32,23,9
 Alaska,1971-09-04,Alaska Airlines,Boeing B-727-193,104,7,111,104,7
 Germany,1971-09-06,Pan International,BAC One-Eleven 515FB,115,6,22,21,1
 Russia,1971-09-16,Yemen Airlines,Douglas DC-3,3,2,5,3,2
 Ukraine,1971-09-16,Malev Hungarian Airlines,Tupolev TU-134A,41,8,49,41,8
 Bulgaria,1971-09-17,Balkan Bulgarian Airlines,Antonov An-14,7,2,9,6,2
 Brazil,1971-09-28,Cruzeiro,Douglas DC-3,28,4,32,28,4
 West Vlaanderen,1971-10-02,British European Airways,Vickers Vanguard 951,55,8,63,55,8
 Russia,1971-10-10,Aeroflot,Tupolev TU-104B,18,7,25,18,7
 Colombia,1971-10-17,Aerolineas TAO,Douglas C-47A,17,4,19,15,4
 Illinois,1971-10-21,Chicago and Southern Airlines,Beech E18S,14,2,16,14,2
 Pennsylvania,1971-10-24,Monmouth Airways,Beechcraft B99,6,2,4,2,2
 Italy,1971-11-09,Military - Royal Air Force,Lockheed C-130K Hercules,46,6,52,46,6
 Indonesia,1971-11-10,Merpati Nusantara Airlines,Vickers Viscount 828,62,7,69,62,7
 Russia,1971-11-12,Aeroflot,Antonov AN-24,43,5,48,43,5
 Taiwan,1971-11-21,China Airlines (Taiwan),Sud Aviation SE-210 Caravelle III,17,8,25,17,8
 Russia,1971-12-01,Aeroflot,Antonov AN-24,53,4,57,53,4
 North Carolina,1971-12-04,Eastern Air Lines,Douglas DC-9-31 /Cessna 206,24,5,2,1,1
 Sudan,1971-12-06,Sudan Airways,Fokker F-27 Friendship 200,37,5,10,9,1
 India,1971-12-09,Indian Airlines,HAL-748-224 Srs.2,27,4,21,17,4
 Bulgaria,1971-12-21,Balkan Bulgarian Airlines,Ilyushin IL-18B,62,11,28,26,2
 Huanuco,1971-12-24,Lineas Aereas Nacionales SA (Peru),Lockheed 188A Electra,86,6,91,85,6
 Mexico,1972-01-06,SAESA,Hawker Siddeley HS-748-230 Srs. 2A,18,5,23,18,5
 Spain,1972-01-07,Iberia Airlines,Sud-Aviation Caravelle VI-R,98,6,104,98,6
 Colombia,1972-01-21,Lineas Aéreas la Urraca,Vickers Viscount 837,15,5,20,15,5
 Czech Republic,1972-01-26,JAT Yugoslav Airlines,McDonnell Douglas DC-9-32,23,5,27,23,4
 Indonesia,1972-02-01,Royal Air Laos/PENAS,Douglas DC-6,6,3,6,5,1
 Laos,1972-02-04,Air America,de Havilland Canada C-7A Caribou,34,4,1,0,1
 Colombia,1972-02-05,TAC Colombia,Fairchild F-27,15,4,19,15,4
 Laos,1972-02-11,Royal Air Lao,Douglas DC-4,17,6,23,17,6
 New York,1972-03-03,Mohawk Airlines,Fairchild-Hiller FH-227-B,45,3,16,14,2
 United Arab Emirates,1972-03-14,Sterling Airways,Aerospatiale Caravelle Super 10B,106,6,112,106,6
 South Yemen,1972-03-19,Egyptair,McDonnell Douglas DC-9-32,13,9,22,13,9
 Brazil,1972-04-12,VASP,NAMC YS-11A-211,21,4,25,21,4
 Italy,1972-04-16,Aero Transporti Italiani,Fokker F-27 Friendship 200,15,3,18,15,3
 Ethiopia,1972-04-18,East African Airways,BAC Super VC-10 1154,96,11,43,35,8
 Peru,1972-04-20,SATCO,Douglas C-47D,2,4,6,2,4
 USSR,1972-05-04,Aeroflot,Yakovlev YAK-40,14,4,18,14,4
 Sicily,1972-05-05,Alitalia,McDonnell Douglas DC-8-43,108,7,115,108,7
 Russia,1972-05-16,Military - Russian Navy,Antonov An-26,0,9,9,0,9
 Ukraine,1972-05-18,Aeroflot,Antonov AN-10A,115,7,122,115,7
 Angola,1972-05-21,DTA Angola Airlines,Fokker F-27 Friendship 200,19,6,22,17,5
 Germany,1972-05-27,General Air,de Havilland Canada DHC-6 Twin Otter,10,3,8,6,2
 Brazil,1972-05-29,Amazonese Importacao e Exportacao,Lockheed 049 Constellation,15,3,9,6,3
 Texas,1972-05-30,Delta Air Lines,McDonnell Douglas DC-9-14,0,4,4,0,4
 Vietnam,1972-06-05,Air America,Curtiss C-46A,29,3,32,29,3
 Chile,1972-06-13,Aerolineas Flecha Austral,Curtiss C-46D,0,3,3,0,3
 India,1972-06-14,Japan Air Lines,McDonnell Douglas DC-8-53,76,11,82,72,10
 South Vietnam,1972-06-15,Cathay Pacific Airways,Convair CV-880-22M-21,71,10,81,71,10
  Staines,1972-06-18,British European Airways,Hawker Siddeley Trident 1C,112,6,118,112,6
 Puerto Rico,1972-06-24,Prinair,de Havilland DH-114 Heron 2B,18,2,5,3,2
 Wisconsin,1972-06-29,North Central Airlines / Air Wisconsin,Convair CV-580/De Hav. Twin Otter 100,8,5,13,8,5
 Canary Islands,1972-07-06,Aviaco,McDonnell Douglas DC-8-52,0,10,10,0,10
 Norway,1972-07-11,Military - Royal Norwegian Air Force,de Havilland Canada DHC-6 Twin Otter 100,17,2,19,17,2
 Colombia,1972-07-29,AVIANCA / AVIANCA,Douglas DC-3 / Douglas DC-3,32,6,38,32,6
 India,1972-08-12,Indian Airlines,Fokker F-27 Friendship 100,14,4,18,14,4
 South Vietnam,1972-08-12,Military - U.S. Air Force,Lockheed C-130E,36,8,30,23,7
 East Germany,1972-08-14,Interflug,Ilyushin IL-62,148,8,156,148,8
 Burma,1972-08-16,Burma Airways,Douglas DC-3 (C-47A-DK),27,4,26,22,4
 Venezuela,1972-08-27,Lineas Areas Venezolanas,Douglas C-47-DL,31,3,34,31,3
 New Guinea,1972-08-28,Military - Royal Australian Air Force,de Havilland Canada DHC-4 Caribou,26,3,25,22,3
 Russia,1972-08-31,Aeroflot,Ilyushin IL-18,93,9,102,93,9
 Papua,1972-09-01,Ansett Airlines of Papua New Guinea,Shorts SC-7 Skyvan 3-300,3,1,4,3,1
 Bolivia,1972-09-07,Servicios Aereas Virgen de Copacabana,Curtiss C-46A-40-CU,6,2,1,0,1
 Ethiopia,1972-09-10,Ethiopian Airlines,Douglas DC-3,8,3,11,8,3
 Nepal,1972-09-13,Military - Royal Nepalese Air Force,Douglas C-47,27,4,31,27,4
 South Vietnam,1972-09-24,Air Vietnam (South Vietnam),Douglas C-54D-1-DC,8,5,10,6,4
 USSR,1972-10-01,Aeroflot,Ilyushin IL-18B,108,8,108,100,8
 Cambodia,1972-10-02,Cambodia Air,Douglas DC-3,7,2,9,7,2
 Chile,1972-10-13,Uruguayan Air Force - TAMU,Fairchild-Hiller FH-227D/LCD,40,5,29,24,5
 USSR,1972-10-13,Aeroflot,Ilyushin IL-62,164,10,174,164,10
 Greece,1972-10-21,Olympic Airways,NAMC YS-11A-202,49,4,37,36,1
 Vanuatu,1972-10-23,Air Melanesie,Britten-Norman BN-2A-6 Islander,7,1,1,1,0
 Loire,1972-10-27,Air Inter,Vickers Viscount 724,63,5,60,55,5
 Italy,1972-10-30,Aero Transporti Italiani,Fokker F-27 Friendship 200,24,3,27,24,3
 Bulgaria,1972-11-04,Balkan Bulgarian Airlines,Ilyushin IL-14P,31,4,35,31,4
 Kentucky,1972-11-17,Metro Air Systems,Beech G18S,10,1,11,10,1
 Russia,1972-11-28,Japan Air Lines,McDonnell Douglas DC-8-62,61,15,62,53,9
  Canary Islands,1972-12-03,Spantax,Convair CV-990-30A-5 Coronado,148,7,155,148,7
 Pakistan,1972-12-08,Pakistan International Airlines,Fokker F-27 Friendship 400,22,4,26,22,4
 Chicago,1972-12-08,United Air Lines,Boeing B-737-222,55,6,43,40,3
 Illinois,1972-12-20,Delta Air Lines/ North Central Airlines,Convair CV-880 / McDonnell DC-9-31,122,11,10,10,0
 Netherlands Antilles,1972-12-21,Air Guadeloupe,de Havilland Canada DHC-6 Twin Otter 300,11,2,13,11,2
 Norway,1972-12-23,Braathens,Fokker F-28 Fellowship 1000,42,3,40,37,3
 Florida,1972-12-29,Eastern Air Lines,Lockheed L-1011 TriStar 1,163,13,103,97,6
 Puerto Rico,1972-12-31,American Express Leasing,Douglas DC-7CF,2,3,5,2,3
 Alberta,1973-01-02,Pacific Western Airlines,Boeing 707-321C,0,5,5,0,5
 Scotland,1973-01-19,British European Airways,Vickers 802 Viscount,2,2,4,2,2
 Russia,1973-01-21,Aeroflot,Antonov An-24B,34,5,39,34,5
 Nigeria,1973-01-22,Alia Royal Jordanian Airlines,Boeing B-707-3D3C,193,9,176,170,6
 Honduras,1973-01-27,TAN,Douglas DC-6A,0,3,3,0,3
 Cyprus,1973-01-29,Egyptair,Ilyushin IL-18D,30,7,37,30,7
 Czechoslovakia,1973-02-19,Aeroflot,Tupolev TU-154,87,13,66,62,4
 Panama,1973-02-21,Aerovias Urraca,Douglas DC-3,25,3,22,19,3
 Egypt,1973-02-21,Libya Arab Airlines,Boeing B-727-224,104,9,108,100,8
 Russia,1973-02-24,Aeroflot,Ilyushin IL-18,71,8,79,71,8
 Kazakhstan,1973-02-28,Aeroflot,Yakovlev YAK-40,29,3,32,29,3
 Indonesia,1973-02-28,Merpati Nusantara Airlines,de Havilland Canada DHC-6 Twin Otter 100,10,3,13,10,3
 USSR,1973-03-03,Balkan Bulgarian Airlines,Ilyushin IL-18V,17,8,25,17,8
 France,1973-03-05,Lineas Aereas de Espana/Spantax SA Transportes,MD Douglas DC-9-32/Convair CV-990A,166,16,68,61,7
 India,1973-03-15,Indian Airlines,HAL-748-224,0,3,3,0,3
 South Vietnam,1973-03-19,Air Vietnam (South Vietnam),Douglas C-54D,57,5,62,57,5
  Switzerland,1973-04-10,Invicta International Airlines (UK),Vickers Vanguard 952,139,6,108,104,4
 California,1973-04-12,Military - U.S. Navy / NASA,Lockheed P-3C / Convair CV-990-30A-5,0,17,16,0,16
 Afghanistan,1973-04-18,Bakhtar Afghan Airlines,de Havilland Canada DHC-6 Twin Otter 100,16,3,4,2,2
 USSR,1973-05-11,Aeroflot,Ilyushin IL-18B,55,8,61,55,8
 Siberia,1973-05-18,Aeroflot,Tupolev TU-104A,72,9,81,72,9
 Cambodia,1973-05-19,Cambodia Air,Douglas C-47A,9,2,11,9,2
 Prov. Quebec,1973-05-29,Air Gaspé,Douglas DC-3,1,3,4,1,3
 India,1973-05-31,Indian Airlines,Boeing B-737-2A8,58,7,48,43,5
 Brazil,1973-06-01,Cruzeiro,Sud Aviation SE-210 Caravelle VIN,16,7,23,16,7
 France,1973-06-03,Aeroflot,Tupolev TU-144,0,6,6,0,6
 Brazil,1973-06-09,Varig,Boeing 707-327C,0,4,2,0,2
 Mexico,1973-06-20,Aeromexico,McDonnell Douglas DC-9-15,22,5,27,22,5
 Jordan,1973-06-30,Aeroflot,Tupolev TU-134A,78,8,2,0,2
 Russia,1973-07-04,Aeroflot,Ilyushin IL-14,13,5,18,13,5
 Russia,1973-07-09,Aeroflot,Tupolev TU-124V,54,7,2,2,0
 Orly Airport,1973-07-11,Varig,Boeing B-707-345C,117,17,123,116,7
 Tahiti,1973-07-22,Pan American World Airways,Boeing B-707-321B,69,10,78,68,10
 Missouri,1973-07-23,Ozark Air Lines,Fairchild-Hiller FH-227B,41,3,38,37,1
 Boston,1973-07-31,Delta Air Lines,McDonnell Douglas DC-9-31,83,6,89,83,6
 Spain,1973-08-13,Aviaco Condor,Sud-Aviation Caravelle 10-R,79,6,85,79,6
 Haiti,1973-08-15,Private,Norman BN-2A-6,9,1,10,9,1
 Azerbaijan,1973-08-18,Aeroflot,Antonov AN-24V,60,4,56,54,2
 Colombia,1973-08-22,AVIANCA,Douglas DC-3,14,3,16,13,3
 Colombia,1973-08-27,Aerocondor Colombia,Lockheed L-188A Electra,36,6,42,36,6
 Spain,1973-08-28,Military - U.S. Air Force,Lockheed C-141A,17,8,24,17,7
 California,1973-08-28,Trans World Airlines,Boeing B-707-331B,141,8,1,1,0
 Alaska,1973-09-08,World Airways,McDonnell Douglas DC-8-63F,3,3,6,3,3
 Yugoslavia,1973-09-11,JAT Yugoslav Airlines,Aerospatiale Caravelle 6N,35,6,41,35,6
 Louisiana,1973-09-20,Private Charter,Beechcraft E18S,5,1,6,5,1
 Arkansas,1973-09-27,Texas International Airlines,Convair 600,8,3,11,8,3
 Brazil,1973-09-30,Aeronorte,Douglas DC-3A,5,4,9,5,4
 Russia,1973-09-30,Aeroflot,Tupolev TU-104B,100,8,108,100,8
 Russia,1973-10-02,Aeroflot,Antonov AN-12V,8,2,10,8,2
 Russia,1973-10-13,Aeroflot,Tupolev TU-104B,114,8,122,114,8
 Brazil,1973-10-23,VASP,NAMC YS-11A-211,60,5,8,8,0
 Colombia,1973-11-02,Lineas Aéreas La Urraca,Handley Page HPR-7 Herald 101,12,4,6,3,3
: Massachusetts,1973-11-03,Pan American World Airways,Boeing B-707-321C,0,3,3,0,3
  New Mexico,1973-11-03,National Airlines,McDonnell Douglas DC-10-10,116,12,1,1,0
 South Vietnam,1973-11-17,Air Vietnam (South Vietnam),Douglas DC-3,24,3,27,24,3
 USSR,1973-12-07,Aeroflot,Tupolev TU-104B,68,7,13,11,5
 USSR,1973-12-16,Aeroflot,Tupolev TU-124,45,6,51,45,6
 Italy,1973-12-17,Pan American World Airways,Boeing B-707-321B,167,10,30,29,1
 Morocco,1973-12-22,Royal Air Maroc,Sud-Aviation Caravelle VI-N,99,7,106,99,7
 Ukraine,1973-12-23,Aeroflot,Tupolev TU-124,11,6,17,11,6
 South Africa,1973-12-28,Executive Funds,Douglas DC-3,22,3,1,1,0
 Italy,1974-01-01,Itavia,Fokker F-28 Fellowship 1000,38,4,38,35,3
 Pennsylvania,1974-01-06,Air East,Beechcraft 99A,15,2,12,11,1
 Bolivia,1974-01-06,Servicios Aéreos Boliviano,Curtiss C-46F,1,3,4,1,3
 Ukraine,1974-01-06,Aeroflot,Antonov AN-24V,18,6,24,18,6
 Colombia,1974-01-09,SATENA,Hawker Siddeley HS 748-260,28,3,31,28,3
 Colombia,1974-01-17,Cessnyca,Douglas DC-3A,11,3,14,11,3
 Turkey,1974-01-26,Turkish Airlines (THY),Fokker F-28 Fellowship 1000,68,5,66,62,4
 American Samoa,1974-01-30,Pan American World Airways,Boeing B-707-321B,91,10,97,87,10
 HI,1974-02-02,Pan American World Airways,Boeing B-747,279,19,1,1,0
  Bolivia,1974-02-23,SAVCO,Curtiss C-46A-45-CU,4,3,7,4,3
 France,1974-03-03,Turkish Airlines (THY),McDonnell Douglas DC-10-10,335,11,346,335,11
 Vietnam,1974-03-08,Pathet Lao Airlines,Antonov An-24,15,3,18,15,3
 California,1974-03-13,Sierra Pacific Airlines,Convair CV-440,32,4,36,32,4
 Iran,1974-03-15,Sterling Airways,Aerospatiale Caravelle 10B3,92,4,15,15,0
 Botswana,1974-04-04,Wenela Air Services,Douglas DC-4,80,4,78,75,3
 Bali,1974-04-22,Pan American World Airways,Boeing B-707-321C,96,11,107,96,11
 USSR,1974-04-27,Aeroflot,Ilyushin IL-18B,102,7,109,102,7
 Texas,1974-04-30,Houston Metro Airlines,Beechcraft 99,10,2,6,5,1
 Germany,1974-05-06,Fragtflug,Douglas DC-6A,0,3,3,0,3
 Illinois,1974-05-23,Saturn Airways,Lockheed L-100-30 Hercules,1,2,3,1,2
 Ukraine,1974-05-23,Aeroflot,Yakovlev YAK-40,25,4,29,25,4
 Canada,1974-05-31,Lambair,Bristol 170 Freighter 31E,0,2,2,0,2
  Colombia,1974-06-08,Aerolineas TAO,Vickers Viscount 785D,38,6,44,38,6
 Khmer Republic,1974-06-27,Cambodia Air,Boeing 307B-1 Stratoliner,33,6,19,17,2
 Colombia,1974-07-24,Aeronorte Colombia,Douglas DC-4,0,3,3,0,3
 Vietnam,1974-07-27,Air Amercia,Fairchild C-123K,1,4,5,1,4
 PQ,1974-08-05,Laurentian Air Services,Douglas DC-3,8,3,5,2,3
 Upper Volta,1974-08-11,Air  Mali,Ilyushin IL-18B,50,10,47,39,8
 Colombia,1974-08-12,AVIANCA,Douglas C-47-DL,24,3,27,24,3
 Venezuela,1974-08-14,Linea Aeropostal Venezolana,Vickers Viscount 749,45,4,49,45,4
 Zaire,1974-08-18,Military - Zairean Air Force,Lockheed C-130H,24,7,31,24,7
 Indonesia,1974-09-07,Garuda Indonesia Airlines,Fokker F-27 Friendship 600,36,3,36,33,3
 off Kefallinia,1974-09-08,Trans World Airlines,Boeing B-707-331B,79,9,88,79,9
 North Carolina,1974-09-11,Eastern Air Lines,McDonnell Douglas DC-9-31,78,4,70,68,2
 South Vietnam,1974-09-15,Air Vietnam (South Vietnam),Boeing B-727-121C,67,8,75,67,8
 Philippines,1974-10-19,Mabuhay Airways,Douglas DC-3,4,4,1,0,1
 Alaska,1974-10-27,Alaska International Air,Lockheed L-100 Hercules,0,4,4,0,4
 Russia,1974-11-01,Aeroflot,Antonov An-2 / Mil Mi-8T,32,6,38,32,6
 Philippines,1974-11-15,Orient Air System and Integrated Services,Douglas C-47A-30,5,3,1,1,0
 Kenya,1974-11-20,Lufthansa,Boeing B-747-130,144,13,59,55,4
 Ethiopia,1974-11-20,Ethiopian Airlines,Douglas DC-3,21,3,2,0,2
 Spain,1974-11-22,Alpa Servicios Aéreos,Cessna 500 Citation I,0,4,4,0,4
 Virginia,1974-12-01,Trans World Airlines,Boeing B-727-231,85,7,92,85,7
  Thiells,1974-12-01,Northwest Orient Airlines,Boeing B-727-251,0,3,3,0,3
 Russia,1974-12-04,Aeroflot,Antonov An-2 / Antonov An-12,11,7,13,11,2
 Sri Lanka,1974-12-04,Martinair Holland NV,McDonnell Douglas DC-8-55F,182,9,191,182,9
 Alaska,1974-12-11,Kodiak Airways,Grumman G-21,4,1,5,4,1
 Uzbekistan,1974-12-14,Aeroflot,Yakovlev 40,15,4,7,7,0
 Venezuela,1974-12-22,Aerovias Venezolanas SA (Venezuela),McDonnell Douglas DC-9-14,71,6,77,71,6
 Romania,1974-12-29,Tarom,Antonov AN-24RV,28,5,33,28,5
 Guatemala,1974-12-29,Edwin Ortiz,Lockheed 18 LodeStar,21,3,24,213,3
 Vietnam,1975-01-03,Air America,Fairchild C-123K,6,3,9,6,3
 California,1975-01-09,Golden West Airlines / Private,de Hav Can. DHC-6 Tw Otter 100/ Cessna,10,4,14,10,4
 Hunary,1975-01-15,Malev Hungarian Airlines,Ilyushin IL-18V,0,9,9,0,9
 Laos,1975-01-16,Aeroflot,Antonov AN-12,14,2,16,14,2
 Turkey,1975-01-30,Turkish Airlines (THY),Fokker F-28 Fellowship 1000,38,4,42,38,4
 Dominican Republic,1975-01-30,Linea Aérea Nacional,Douglas DC-3-313,27,3,2,1,1
 Texas,1975-02-01,Horizon Properties,Douglas DC-3C,14,2,5,3,2
 Philippines,1975-02-03,Philippine Air Lines,Hawker Siddeley HS-748 2,29,4,33,29,4
 Crete,1975-02-09,Military - Deutsche Luftwaffe,Transall C-160,35,5,40,35,5
 Alaska,1975-02-16,Pacific Alaska Airlines,Douglas DC-6BF,0,3,3,0,3
 Brazil,1975-02-27,VASP,Embraer 110C Bandeirante,13,2,15,13,2
 South Vietnam,1975-03-12,Air Vietnam (South Vietnam),Douglas DC-4,20,6,26,20,6
 Argentina,1975-03-16,Military - Argentine Air Force,Fokker F-27 Friendship 400M,50,5,55,50,5
 Sudan,1975-03-18,Sudan Airways,de Havilland Canada DHC-6 Twin Otter 100,4,2,5,3,2
 Washington,1975-03-20,Military - U.S. Air Force,Lockheed C-141A (L.300),12,4,16,12,4
 South Vietnam,1975-04-04,Military - U.S. Air Force,Lockheed C-5A Galaxy,314,16,155,150,5
 Philippines,1975-06-03,Philippine Air Lines,BAC One-Eleven 524FF,59,5,1,1,0
 Brazil,1975-06-17,Varig,Hawker Siddeley HS-748-235 Srs. 2A,11,4,1,0,1
 New York,1975-06-24,Eastern Air Lines,Boeing B-727-225,116,8,113,107,6
 Colombia,1975-07-10,Aerovias Condor,Lockheed L-188AF Electra,0,4,2,0,2
 Georgia,1975-07-15,Aeroflot,Yakovlev YAK-40,35,5,40,35,5
 Taiwan,1975-07-31,Far Eastern Air Transport,Vickers 837 Viscount,70,5,27,27,0
 Morocco,1975-08-03,Alia Royal Jordanian Airlines,Boeing B-707-321C,181,7,188,181,7
 Colorado,1975-08-07,Continental Airlines,Boeing B-727-224,124,7,0,0,0
 Russia,1975-08-09,Aeroflot,Ilyushin IL-14M,6,5,11,6,5
 USSR,1975-08-15,Aeroflot,Yakovlev YAK-40,34,4,23,21,2
 Syria,1975-08-20,Ceskoslovenske Aerolinie,Ilyushin IL-62,117,11,126,115,11
 Alaska,1975-08-30,Wien Air Alaska,Fairchild F-27B,28,4,10,7,3
 East Germany,1975-09-01,Interflug,Tupolev TU-134,28,6,27,24,3
 Ethiopia,1975-09-11,Ethiopian Airlines,Douglas C-47-DL,6,3,1,1,0
 Indonesia,1975-09-24,Garuda Indonesia Airlines,Fokker F-28 Fellowship 1000,57,4,25,21,4
 Lebanon,1975-09-30,Malev Hungarian Airlines,Tupolev TU-154B,50,10,60,50,10
 Russia,1975-10-22,Aeroflot,Yakovlev Yak-40,2,4,6,2,4
 Queensland,1975-10-23,Connair,de Havilland DH114 Heron 2E,8,3,11,8,3
 Bolivia,1975-10-27,TAM (Bolivia),Convair CV-440-12,63,4,67,63,4
 Czechoslovakia,1975-10-30,Inex Adria Aviopromet,McDonnell Douglas DC-9-32,115,5,75,71,4
 Georgia,1975-11-17,Aeroflot,Antonov AN-24,33,5,38,33,5
 Guatemala,1975-11-18,Aviateca,Douglas DC-3,18,4,15,11,4
 Ukraine,1975-11-20,Aeroflot,Antonov AN-24,46,4,19,18,1
 Bulgaria,1975-11-22,Balkan Bulgarian Airlines,Antonov AN-24B,45,3,3,2,1
 England,1975-11-29,Private,Piper PA-23-250 Aztec,5,1,6,5,1
 Saudi Arabia,1976-01-01,Middle East Airlines,Boeing B-720B-023B,67,15,82,67,15
 Alaska,1976-01-03,Winship Air,Lear Jet 24A,4,2,6,4,2
 Russia,1976-01-03,Aeroflot,Tupolev TU-124,56,5,61,56,5
 Philippines,1976-01-08,Philippine Aerotransport,Britten-Norman BN-2A-21 Islander,6,1,7,6,1
 Bolivia,1976-01-18,Frigorifico Maniqui,Douglas C-47,7,3,7,4,3
 Ecuador,1976-01-20,TAME,Hawker Siddeley HS-748-246,36,6,34,28,6
 Brazil,1976-01-22,Transbrasil,Embraer 110C Bandeirante,9,2,9,7,2
 Colombia,1976-02-04,LAC Colombia,Douglas DC-6A,0,3,3,0,3
 California,1976-02-08,Mercer Airlines,Douglas DC-6,1,5,3,1,2
 Russia,1976-02-09,Aeroflot,Tupolev TU-104A,104,10,24,15,9
 Virgin Islands,1976-02-21,Antilles Air,Grumman G-21A seaplane,10,1,5,5,0
 Romania,1976-03-01,Tarom,Ilyushin II-14P,5,4,6,3,3
 Russia,1976-03-06,Aeroflot,Ilyushin IL-18E,100,11,111,100,11
 Alaska,1976-03-07,Kodiak Western Alaska Airlines,Cessna 207,3,1,4,3,1
 Alaska,1976-04-05,Alaska Airlines,Boeing B-727-81,45,5,1,1,0
 Argentina,1976-04-14,Yacimientos Petroliferos Fiscales,Hawker Siddeley HS-748 2,31,3,34,31,3
 Virgin Islands,1976-04-27,American Airlines,Boeing B-727-95,81,7,37,35,2
 Philippines,1976-05-05,Philippine Aerotransport,Britten-Norman BN-2A-21 Islander,8,2,4,4,0
 Spain,1976-05-09,Military - Imperial Iranian Air Force,Boeing B-747-131F,7,10,17,7,10
 Ukraine,1976-05-15,Aeroflot,Antonov AN-24,46,6,52,46,6
 Philipines,1976-05-23,Philippine Air Lines,BAC One-Eleven 527FK,77,10,14,14,0
 Equatorial Guinea,1976-06-01,Aeroflot,Tupolev TU-154A,35,10,45,35,10
 Guam,1976-06-04,Air Manila,Lockheed 188A Electra,33,12,45,33,12
 Malaysia,1976-06-06,Sabah Air,GAF Nomad N-22B,10,1,11,10,1
