PaisAccidente,Fecha,OperadorAerolinea,TipoAeronave,PasajerosABordo,TripulacionABordo,CantidadFallecidos,MuertesPasajeros,MuertesTripulacion
 Montana,1934-11-15,Rapid Air Transport,Stinson SM-6000-B,0,2,2,0,2
 Australia,1934-11-15,Qantas,de Havilland DH-86,3,1,4,3,1
 Germany,1934-12-07,Deutsche Lufthansa,Junkers F-13,0,3,3,0,3
 Missouri,1934-12-08,Braniff Airlines,Lockheed Vega 5C,0,1,1,0,1
 Cuba,1934-12-10,Cubana de Aviacion,Ford 4-AT-E Tri-motor,5,3,4,2,2
 Syria,1934-12-20,KLM Royal Dutch Airlines,Douglas DC-2-115A,3,4,7,3,4
 Tennessee,1934-12-22,American Airlines,Lockheed Orion 9D,0,1,1,0,1
 Germany,1935-01-31,Deruluft,Junkers JU-52/3m,8,3,11,8,3
 Germany,1935-03-07,Deruluft,Rochrbach Roland,0,3,0,0,0
 Egypt,1935-03-15,Misrair,de Havilland Dragon 1,5,1,3,2,1
 France,1935-04-01,Air France,Farman F-300,0,3,1,0,1
 Germany,1935-04-06,KLM Royal Dutch Airlines,Fokker F-12,2,5,7,2,5
 Colorado,1935-05-01,Varney Air Lines,Lockheed Vega,0,1,1,0,1
 Missouri,1935-05-06,Trans Continental and Western Air,Douglas DC-2-112,12,2,5,3,2
 Michigan,1935-05-18,Knowles Flying Service of Detroit,Ford model 4-AT-E,11,1,3,2,1
 Wyoming,1935-05-27,Wyoming Air Service,Boeing 221,0,1,1,0,1
 Illinois,1935-05-28,Chicago and Southern Airlines,Stinson SM6000B Tri-motor,1,1,2,1,1
 Colombia,1935-06-24,Servicio Aereo Columbiano / SCADTA,Ford Tri-Motor / Ford Tri-Motor,18,2,17,15,2
 Netherlands,1935-07-14,KLM Royal Dutch Airlines,Fokker F-XXII,15,5,6,2,4
 Switzerland,1935-07-20,KLM Royal Dutch Airlines,Douglas DC-2,9,4,13,9,4
 United Kingdom,1935-07-23,Jersey Airways,de Havilland DH-84 Dragon,7,1,1,3,0
 Colombia,1935-07-28,Fuerza Aerea Colombiana,Junkers W-34,3,2,5,3,2
 Egypt,1935-08-07,Ala Littoria,Savoia-Marchetti S-66,3,4,7,3,4
 Texas,1935-08-14,Delta Air Lines,Stinson Model A,3,1,4,3,1
