PaisAccidente,OperadorAerolinea,Fecha,LugarAccidente,TipoAeronave
 Mexico,Aeroservicios Empresariales de Durango,1996-05-10,Otaez- Mexico,de Havilland Canada DHC-6 Twin Otter 200
 Colombia,Aerosucre Colombia,1984-03-13,Barranquilla- Colombia,Curtiss C-46A
 Colombia,Aerosucre Colombia,1989-04-26,Baranquilla- Colombia,Aérospatiale SE-210 Caravelle
 Colombia,Aerosucre Colombia,1991-06-20,Near Malambo- Colombia,Douglas DC-6BF
 Colombia,Aerosucre Colombia,2006-11-18,Near Leticia- Colombia,Boeing 727-23F
 Colombia,Aerosucre Colombia,2016-12-20,Puerto Carreno- Colombia,Boeing 727-2JOF
 Greece,Aerosweet Airlines (LVOV),1997-12-17,Fotina- Greece,Yakovlev YAK-42
 Colombia,Aerotaca,1989-06-11,Vereda el Salitre- Colombia,de Havilland Canada DHC-6 Twin Otter 300
 Colombia,Aerotaca,1993-06-06,El Yopal- Colombia,de Havilland Canada DHC-6 Twin Otter 300
 Colombia,Aerotaca,1999-04-08,Near Malaga- Colombia,de Havilland Canada DHC-6 Twin Otter 300
,Aerotechnia,1972-05-08,Venezuela,Douglas C-47B
 Colombia,Aerotransportes Petroleros,2004-05-05,Carepa- Colombia,Swearingen SA227AC Metro III
 Queensland,Aero-Tropics,2005-05-07,Lockhart River- Queensland- Australia,Swearingen SA-227AC Metro III
 Colombia,Aerovanguardia,2004-10-15,Near Medellin- Colombia,Douglas DC-3C
 Brazil,Aerovias Brasil,1948-07-14,Belem- Brazil,Douglas C-47A
 Brazil,Aerovias Brasil,1950-05-30,Near Ilheus- Brazil,Douglas DC-3
 Colombia,Aerovias Condor,1975-07-10,Bogota- Colombia,Lockheed L-188AF Electra
 California,Aerovias Contreras,1953-08-18,Near San Diego- California,Curtiss C-46A
 Mexico,Aerovias Contreras,1953-10-19,Near Monterrey- Mexico,Douglas C-46A-CU ( DC-3)
 Spain,Aerovias Cuba International,1947-02-06,Pedro Bernardo- Spain,Douglas C-54B-15-DO
 Guatemala,Aerovias de Guatemala SA,1986-01-18,Near Peten- Guatemala,Sud-Aviation Caravelle VI-N
 Mexico,Aerovias del Norte,1965-01-17,Near Durango- Mexico,Curtiss C-46
 Costa Rica,Aerovias del Valle,1968-10-08,Puerto Cortes- Costa Rica,Britten-Norman BN-2 Islander
 Nicaragua,Aerovias Guest,1956-11-15,Puerto Somoza- Nicaragua,Douglas C-54A-10-DC
 Argentina,Aerovias Halcon,1966-08-17,Puertos Lobos- Argentina,Curtiss C-46F-1-CU
 Mexico,Aerovias Rojas,1968-04-10,Near Mexico City- Mexico,Douglas DC-3
 Panama,Aerovias Urraca,1973-02-21,Cerro Horqueta- Panama,Douglas DC-3
 Venezuela,Aerovias Venezolanas SA (Venezuela),1974-12-22,Maturin- Venezuela,McDonnell Douglas DC-9-14
,U. S. Air Force,1944-09-18,Alaska,Douglas C-47A-90-DL
 Newfoundland,u.s. Air Force,1953-03-18,Stephenville- Newfoundland,Boeing B-29 Superfortress
 Afghanistan,U.S. Government (leased),2006-04-24,Lashkar Gah- Afghanistan,Antonov AN-32B
 Greenland,U.S. Overseas Airways,1957-05-13,Narsarressuak- Greenland,Douglas DC-4
 Italy,Uganda Airlines,1988-10-17,Rome- Italy,Boeing B-707-338C
 Algeria,Ukraine Air Alliance,2014-08-30,Tamanraset- Algeria,Antonov An-12BK
 Ukraine,Ukraine Air Alliance,2019-10-04,Lviv- Ukraine,Antonov An-12BK
 Eritrea,Ukraine Aviation Transport Company,1998-07-17,Asmara- Eritrea,Ilyushin II-76
 Iran,Ukraine International Airlines,2020-01-08,Near Shahriah- Iran,Boeing 737-8KV WL
 Turkey,Ukranian-Mediterranean Airlines,2003-05-26,Near Macka- Turkey,Yakovlev 42D
 Russia,Ukvozduchput,1929-08-24,Sochi- Russia,Kalinin K-4
 Taiwan,Uni Air,1999-08-24,Hualian- Taiwan,McDonnell Douglas MD-90-30
 Chad,Union Aeromaritime de Transport,1952-11-06,Lake Chad- Chad,Douglas C-54B-1-DC
 Zimbabwe (Harare,Union Aeromaritime de Transport,1958-12-26,Salisbury- Zimbabwe (Harare- Zimbabwe),Douglas DC-6B
 Central African Republic,Union Aeromaritime de Transport,1959-03-29,Near Bangui- Central African Republic,Nord 2501 Noratlas
 Cameroon,Union Aéromaritime de Transport,1955-06-03,Fort Lamy- Cameroon,Douglas C-54A
 South Africa,Union Airways,1931-11-13,Sir Lowry's pass- South Africa,De Havilland DH.80
 South Africa,Union Airways,1933-12-14,Eshowe- South Africa,Junkers W-34
 Cameroons,Union des Transportes Aeriens,1955-04-18,Kupe Mountains- Cameroons,de Havilland DH-114 Heron 1B
